T;Component;Tc;Pc;rhoc;uc;beta 1K;beta 2;delta;L;phi;
3;49;536.177;5.89252;4702.85;0.0298666;0.501474;0.505465;2.99951;6.63E-10;1;
3;49;536.418;5.91127;4695.06;0.0298922;0.502051;0.505591;2.99873;6.65E-10;1;
3;49;536.653;5.92936;4695.06;0.029917;0.50156;0.505382;2.99942;6.68E-10;1;
3;49;536.884;5.947;4679.46;0.0299414;0.501568;0.505395;2.99961;6.70E-10;1;
3;49;537.11;5.96409;4679.46;0.0299653;0.501199;0.50511;3.00207;6.73E-10;1;
3;49;537.332;5.98074;4679.46;0.0299887;0.501175;0.50508;3.00429;6.75E-10;1;
3;49;537.549;5.99685;4671.66;0.0300116;0.500633;0.50481;3.00142;6.78E-10;1;
3;49;537.763;6.01263;4663.86;0.0300341;0.501131;0.504829;3.00081;6.80E-10;1;
3;49;537.972;6.02788;4663.86;0.0300561;0.50098;0.504605;3.00129;6.83E-10;1;
3;49;538.177;6.0427;4648.26;0.0300777;0.500908;0.504431;3.00193;6.85E-10;1;
3;49;538.378;6.0571;4648.26;0.0300988;0.500877;0.504307;3.00201;6.88E-10;1;
3;49;538.575;6.07108;4648.26;0.0301194;0.500797;0.504081;3.00246;6.90E-10;1;
3;49;538.768;6.08465;4632.66;0.0301397;0.500621;0.503927;3.00329;6.93E-10;1;
3;49;538.957;6.0978;4632.66;0.0301595;0.500278;0.503679;3.00393;6.95E-10;1;
3;49;539.143;6.11064;4632.66;0.0301789;0.500535;0.50348;3.00392;6.98E-10;1;
3;51;548.607;3.88261;2735.26;0.0287509;0.500756;0.514467;2.99571;5.00E-10;1;
3;51;548.443;3.88128;2735.26;0.0287429;0.501127;0.515553;2.99463;5.03E-10;1;
3;51;548.279;3.87993;2735.26;0.028735;0.501261;0.516712;2.99399;5.05E-10;1;
3;51;548.115;3.87857;2735.26;0.028727;0.501042;0.51771;2.99408;5.08E-10;1;
3;51;547.952;3.87725;2728.98;0.028719;0.501021;0.519055;2.99358;5.10E-10;1;
3;51;547.79;3.87596;2728.98;0.0287111;0.501043;0.520415;2.99307;5.13E-10;1;
3;51;547.63;3.87476;2722.71;0.0287034;0.501741;0.522003;2.99232;5.15E-10;1;
3;51;547.471;3.8736;2722.71;0.0286957;0.502121;0.523695;2.99118;5.18E-10;1;
3;51;547.313;3.87247;2728.98;0.028688;0.502006;0.525517;2.99013;5.20E-10;1;
3;51;547.157;3.87142;2728.98;0.0286806;0.501989;0.527355;2.98974;5.23E-10;1;
3;51;547.004;3.87052;2728.98;0.0286733;0.502735;0.529705;2.98803;5.25E-10;1;
3;51;546.853;3.86969;2735.26;0.0286662;0.503244;0.532213;2.98702;5.28E-10;1;
3;51;546.704;3.86895;2735.26;0.0286593;0.503316;0.534737;2.98647;5.30E-10;1;
3;51;546.558;3.86834;2735.26;0.0286526;0.503542;0.537737;2.98565;5.33E-10;1;
3;51;546.416;3.86792;2735.26;0.0286462;0.504589;0.541206;2.9834;5.35E-10;1;
3;51;546.276;3.86758;2735.26;0.0286399;0.504583;0.544873;2.98331;5.38E-10;1;
3;51;546.14;3.86742;2735.26;0.028634;0.504991;0.548905;2.98272;5.40E-10;1;
3;51;546.008;3.86744;2747.8;0.0286284;0.505564;0.553648;2.98119;5.43E-10;1;
3;51;545.88;3.86764;2747.8;0.0286232;0.50609;0.558992;2.9799;5.45E-10;1;
3;51;545.757;3.86807;2747.8;0.0286184;0.507189;0.56504;2.9779;5.48E-10;1;
3;51;545.637;3.86863;2754.08;0.0286138;0.507002;0.57148;2.9778;5.50E-10;1;
3;51;545.524;3.86953;2760.35;0.0286098;0.508507;0.579163;2.97428;5.53E-10;1;
3;51;545.415;3.8706;2760.35;0.0286061;0.509058;0.5873;2.97404;5.55E-10;1;
3;51;545.312;3.87195;2772.9;0.028603;0.510001;0.596091;2.97233;5.58E-10;1;
3;51;545.215;3.87359;2772.9;0.0286003;0.51106;0.6049;2.9714;5.60E-10;1;
3;51;545.125;3.87556;2785.45;0.0285983;0.51279;0.613547;2.96847;5.63E-10;1;
3;51;545.04;3.87775;2791.72;0.0285967;0.513254;0.620855;2.96963;5.65E-10;1;
3;51;544.964;3.88039;2797.99;0.0285958;0.515396;0.626703;2.96697;5.68E-10;1;
3;51;544.895;3.88335;2810.54;0.0285956;0.517262;0.629848;2.96484;5.70E-10;1;
3;51;544.835;3.88676;2823.09;0.0285962;0.520105;0.629853;2.96182;5.73E-10;1;
3;51;544.783;3.89056;2835.63;0.0285974;0.522814;0.625766;2.96041;5.75E-10;1;
3;51;544.74;3.8948;2848.18;0.0285995;0.525813;0.617021;2.95914;5.78E-10;1;
3;51;544.708;3.8996;2860.73;0.0286025;0.530344;0.603698;2.95637;5.80E-10;1;
3;51;544.686;3.90489;2873.27;0.0286064;0.535291;0.584898;2.95583;5.83E-10;1;
3;51;544.676;3.91081;2892.1;0.0286113;0.54193;0.560763;2.95353;5.85E-10;1;
3;51;544.679;3.9174;2910.92;0.0286174;0.550866;0.531318;2.95081;5.88E-10;1;
3;51;544.696;3.92473;2936.01;0.0286248;0.562841;0.496991;2.94871;5.90E-10;1;
3;51;544.728;3.93287;2961.1;0.0286335;0.578468;0.458703;2.94933;5.93E-10;1;
3;51;544.778;3.94201;2986.2;0.0286439;0.598131;0.418809;2.94781;5.95E-10;1;
3;51;544.847;3.95221;3023.84;0.028656;0.611145;0.380515;2.95022;5.98E-10;1;
3;51;544.938;3.96368;3067.75;0.0286701;0.585884;0.348722;2.96404;6.00E-10;1;
3;51;545.056;3.97677;3117.94;0.0286867;0.496576;0.325559;2.99592;6.03E-10;1;
3;51;545.207;3.99189;3186.95;0.0287064;0.390042;0.310178;3.09399;6.05E-10;1;
3;51;545.404;4.01001;3299.87;0.0287304;0.327122;0.301844;3.42251;6.08E-10;1;
3;51;545.675;4.03334;3513.17;0.0287616;0.312832;0.301911;3.92924;6.10E-10;1;
3;51;546.032;4.06316;3676.29;0.0288013;0.342008;0.311381;3.57592;6.13E-10;1;
