1;null;Tc (K);Pc (MPa);omega;r(UNIQUAC);q(UNIQUAC);q'(UNIQUAC);A (bar);B(bar.K);C(K);Tmin (K);Tmax (K);a0 (bar.L².mol²);bCPA (L/mol);c1;?AB (bar.L/mol);?AB;Tc virtual;Pc virtual;omega virt.;L (m);phi
68;nitrogênio;126.1;3.394;0.04;;;;0;0;;;;0;0;;0;;;;;;
69;monóxido de carbono;132.9;3.499;0.066;;;;0.62402;23.027;-13.29;63;108;0;0;;0;;;;;;
70;dióxido de carbono;304.2;7.382;0.228;;;;0.681228;130.1679;-3.494;154;195;3.51E-07;0.0000272;0.7602;0;0;;;;;
71;dióxido de enxofre;430.8;7.884;0.245;;;;0;0;;;;0;0;;0;;;;;;
72;trióxido de enxofre;490.9;8.207;0.422;;;;0;0;;;;0;0;;0;;;;;;
73;óxido nítrico;180.2;6.485;0.585;;;;0;0;;;;0;0;;0;;;;;;
74;He-4;5.2;0.228;0;;;;0;0;;;;0;0;;0;;;;;;
75;argônio;150.9;4.898;-0.004;;;;0;0;;;;0;0;;0;;;;;;
76;cloro (Cl2);417.2;7.711;0.069;;;;0;0;;;;0;0;;0;;;;;;
77;neônio ;44.4;2.653;-0.041;;;;0;0;;;;0;0;;0;;;;;;
78;kriptônio;209.4;5.502;0.001;;;;0;0;;;;0;0;;0;;;;;;
79;bromo (Br2);584.2;10.335;0.119;;;;0;0;;;;0;0;;0;;;;;;
80;xenônio;289.7;5.84;0.012;;;;0;0;;;;0;0;;0;;;;;;
81;hidrazina;653;14.5;0.328;;;;0;0;;;;0;0;;0;;;;;;
82;cianeto de hidrogênio;456.8;5.32;0.407;;;;0;0;;;;0;0;;0;;;;;;
83;cloreto de hidrogênio;324.6;8.2;0.12;;;;0;0;;;;0;0;;0;;;;;;
84;sulfeto de hidrogênio;373.5;8.937;0.081;;;;0;0;;;;0;0;;0;;;;;;
85;disulfeto de carbono;552;7.8;0.115;;;;0;0;;;;0;0;;0;;;;;;
86;trifluorometano;299;4.816;0.26414;;;;0.970195;162.408234;-23.37;145;191;0;0;;0;;;;;;
87;ácido fórmico;588;0;;;;;0;0;;;;5.63E-07;0.00003;0.3338;0.041917;0.0155;;;;;
88;ácido acético;591.95;5.786;0.462;;;;0.468206;164.254;-39.764;290.26;391.01;9.12E-07;0.0000468;0.4644;0.040323;0.0045;;;;;
89;ácido propiônico;600.81;4.617;0.575;;;;0.474558;167.9869;-59.832;345.54;401.49;1.33E-06;0.0000641;0.6891;0.039975;0.0021;;;;;
90;MEG;720;8.2;0.175;;;;0.497012;191.4951;-84.996;323;473;1.08E-06;0.0000514;0.6744;0.019752;0.0141;;;;;
91;DEG;744.6;4.605;1.2006;;;;0.48257;201.92548;-99.48847;;;2.64E-06;0.0000921;0.7991;0.019684;0.0064;;;;;
92;TEG;769.5;4.2;0.8874;;;;0.67568;371.5222;-1.299;387;551.4;3.91E-06;0.0001321;1.1692;0.014337;0.0188;;;;;
93;Tetra-EG;795;2.59;1.5783;;;;0;0;;;;4.86E-06;0.0001812;1.994;0.000479;3.79;;;;;
94;1,2-PG;626;0;;;;;0;0;;;;1.38E-06;0.0000675;0.9372;0.017442;0.019;;;;;
95;Metilamina;430.05;7.458;0.2813;;;;0.452;103.4977;-37.574;190.06;266.92;5.49E-07;0.0000361;0.6044;0.011466;0.0337;;;;;
96;Etilamina;456.15;5.624;0.2851;;;;0;0;;;;9.06E-07;0.0000531;0.7382;0.0093175;0.043;;;;;
97;Dietilamina;496.6;3.92;0.291;;;;0.286193;55.9071;-132.974;304.6;333.73;1.72E-06;0.0000857;0.8838;0.0037008;0.1108;;;;;
98;MEA;614;4.45;0.864;;;;0.429252;140.8873;-116.093;338.6;444.1;1.41E-06;0.00005656;0.7012;0.018177;0.00535;;;;;
99;DEA;715;3.27;1.0463;;;;0.526458;232.856;-98.751;464;582.4;2.09E-06;0.00009435;1.5743;0.016159;0.0332;;;;;
100;MDEA;678;3.88;1.3017;;;;0;0;;;;2.17E-06;0.00011145;1.3371;0.016159;0.0332;;;;;
101;Isobutilacetato(2B);561.8;0;;;;;0.453676;162.5875;-32.494;252;391;1.75E-06;0.00011172;0.86195;0.01841;0.04941;;;;;
102;n-butilacetato(2B);563.8;3.16;0.4167;;;;0.426803;144.0231;-61.362;332.89;399.24;2.93E-06;0.00011889;0.97798;0.009445;0.0059;;;;;
103;metilacetato(2B);496.83;4.779;0.2286;;;;0.418679;115.6431;-53.452;;;1.46E-06;0.00006625;0.87185;0.008978838;0.0222;;;;;
104;Pesado;788.64;1.166;1.2814;;;;0;0;;;;0;0;;0;;;;;;
105;Asphalteno;1474;0.6342;2;;;;0;0;;;;0;0;;0.2;0.01;;;;;
106;acetona (inerte);508.2;4.8;0.304;;;;0.442448;131.2253;-32.445;259.16;507.6;1.40E-06;0.000061;0.80023;0;0;;;;;
107;MTBE;497.1;3.43;0.2749;;;;0.30209;70.869;-93.25;275;353;0;0;;0;;;;;;
108;Metanol(3B);512.6;8.096;0.566;1.43;1.43;1.43;0.520409;158.1341;-33.5;288.1;356.83;4.59E-07;0.0000334;1.0068;0.01607;0.0344;;;;;
109;1-Octanol;652.5;2.685;0.53;;;;0.390279;127.4261;-141.328;386.42;479.27;4.16E-06;0.0001485;1.1486;0.026759;0.00014;;;;;
110;1-Hexanol (2B);611.35;3.51;;;;;0.441271;142.2031;-107.706;325.4;430.5;0.000002723;0.0001137;0.925;0.022329;0.0033;;;;;
111;1-Pentanol (2B);586.15;3.88;0.26;;;;0.468277;149.2549;-91.621;307.1;411;2.28E-06;0.00097455;0.9358;0.021;0.0036;;;;;
112;1- Pentanol (3B);586.15;3.88;0.26;;;;0.468277;149.2549;-91.621;307.1;411;2.27E-06;0.0000979;0.9807;0.018012;0.0034;;;;;
113;1-Propanol (3B);536.7;5.17;0.628;;;;0.76192;137.514;-80.29;285;400;1.28E-06;0.0000655;0.9857;0.017149;0.0063;;;;;
114;1-Etanol (3B);514;6.384;0.635;2.5755;2.588;2.588;0.524677;159.8673;-46.424;292.77;366.63;8.58E-07;0.00005;1.0564;0.015;0.0173;;;;;
115;metanol;512.6;8.096;0.566;1.43;1.43;1.43;0.520409;158.1341;-33.5;288.1;356.83;3.73E-07;3.03E-05;0.3905;2.56E-02;1.50E-02;;;;;
12;n-octano;569.32;2.4978;0.396;5.849;4.936;;0.404867;135.5126;-63.633;326.08;399.72;3.49E-06;1.42E-04;0.99415;0;0;574.53;2.7871;0.531;7.8E-10;
117;n-hexano;507.4;3.012;0.305;4.5;3.856;;0.400266;104.4038;-53.893;177.7;264.93;2.37E-13;1.07E-07;0.8313;0;0;;;;;
118;1-butanol;563.05;4.42;0.594;3.9243;3.668;;0.454607;135.1555;-93.34;295.8;391;1.78E-06;8.09E-05;0.7617;2.43E-02;2.10E-03;;;;;
