Dados da simulação 
 -------------------------------------------------------------------------------------
Number of Components = 2
Component 1 = 47
Component 2 = 10
Equation of state = 3
Mixing Rule = 1
Defined Pressure = 2 kPa
kij = 0
Combining Rule = 1
Association model component 1 =3
Association model component 2 =3
-------------------------------------------------------------------------------------------------------------

Cálculos 
 ----------------------------------------------------------------------------------------------------------
x1 ;y1 ;T ;P;Vl;Vv;sumKx;counter;u_liquid1;u_vapor1;X1l;X1v;Zl;Zv;phi_liquid_1;phi_liquid_2;phi_vapor_1;phi_vapor_2;Vl_obj;Vv_obj;dP/dVl;dP/dVv;G_excess
0.999999;0.999903;6400;501.023;0.066958;0.362504;0.999905;12;-2.67133;-0.982267;0.168932;0.525389;0.102872;0.556936;0.672296;1.20946;0.67236;0.769457;0.000265127;-0.000285666;35129.3;-347.05;-0.124549
0.999999;0.999928;6600;502.947;0.0678428;0.348071;0.999929;13;-2.63556;-1.00028;0.173929;0.520915;0.107077;0.54936;0.669414;1.17761;0.669461;0.762534;0.000421086;-0.000416782;32791.2;-363.279;-0.211105
0.999999;0.999917;6800;504.825;0.0687556;0.334357;0.999918;13;-2.60036;-1.01863;0.178978;0.516364;0.11139;0.541685;0.666547;1.14723;0.666602;0.755789;0.000231022;-0.000264916;30563.5;-379.71;-0.299135
0.999999;0.999904;7000;506.665;0.069703;0.321328;0.999905;13;-2.56555;-1.03724;0.184102;0.511763;0.115824;0.533942;0.663736;1.11815;0.663799;0.749231;0.000383828;-0.000400415;28432;-396.276;-0.382146
0.999999;0.999924;7200;508.47;0.0706929;0.308943;0.999926;14;-2.53095;-1.05606;0.189328;0.50713;0.120396;0.526155;0.661014;1.09025;0.661064;0.74287;0.00024005;-0.000281001;26384.4;-412.9;-0.461497
0.999999;0.999911;7400;510.237;0.0717212;0.297096;0.999913;14;-2.49668;-1.07533;0.194631;0.502392;0.125106;0.518233;0.658306;1.06351;0.658364;0.736686;0.000414861;-0.000440123;24432.6;-429.535;-0.542094
0.999999;0.999928;7600;511.972;0.0728013;0.285783;0.999929;15;-2.46246;-1.09489;0.200058;0.497596;0.12998;0.510237;0.655679;1.03777;0.655725;0.730701;0.000297298;-0.000343388;22557.5;-446.053;-0.617312
0.999999;0.999915;7800;513.672;0.0739292;0.274904;0.999916;15;-2.42842;-1.11503;0.205582;0.492662;0.135019;0.502062;0.653062;1.01304;0.653117;0.724894;0.000233947;-0.000292124;20770.9;-462.361;-0.693675
0.999999;0.9999;8000;515.341;0.0751158;0.264439;0.999901;15;-2.39437;-1.1357;0.211238;0.487606;0.140249;0.493731;0.650486;0.989213;0.650551;0.719282;0.000436942;-0.000261361;19061.8;-478.281;-0.76599
0.999999;0.999913;8200;516.983;0.0763762;0.254379;0.999914;16;-2.36007;-1.15683;0.217068;0.482452;0.145702;0.485275;0.647988;0.966148;0.648045;0.713886;0.000398925;-0.000254946;17418;-493.59;-0.835251
0.999999;0.999923;8400;518.597;0.0777135;0.244651;0.999925;17;-2.32554;-1.17866;0.223069;0.477135;0.151396;0.476612;0.645528;0.943844;0.645577;0.708698;0.000192776;-0.000269236;15845.3;-508.038;-0.905231
0.999999;0.999906;8600;520.179;0.0791299;0.235177;0.999907;17;-2.29081;-1.20147;0.229236;0.471577;0.157346;0.467638;0.643069;0.922309;0.643129;0.703713;0.000237941;-0.00031053;14349.6;-521.271;-0.974567
0.999999;0.999911;8800;521.739;0.0806572;0.225987;0.999913;18;-2.25542;-1.22507;0.235659;0.465842;0.163623;0.458439;0.640679;0.901341;0.640735;0.698979;0.000320697;-0.000241694;12910.2;-532.798;-1.03866
0.999999;0.999914;9000;523.273;0.0823048;0.217001;0.999915;19;-2.21935;-1.2498;0.242345;0.459836;0.170259;0.448895;0.63832;0.880949;0.638375;0.694499;0.000255468;-0.000339873;11533.4;-541.97;-1.10382
0.999999;0.999913;9200;524.783;0.0840954;0.208168;0.999915;20;-2.18238;-1.27591;0.249343;0.453499;0.177317;0.438925;0.635991;0.861072;0.636046;0.690299;0.000264756;-0.000245239;10216.5;-547.863;-1.16732
0.999999;0.99991;9400;526.268;0.0860591;0.199429;0.999911;21;-2.14425;-1.30374;0.256713;0.446754;0.184879;0.428428;0.63369;0.841645;0.633746;0.68642;0.000225169;-0.000323995;8956.64;-549.13;-1.22914
0.999999;0.999994;9600;526.268;0.0837197;0.0837203;0.999995;1;-2.16789;-2.16789;0.251107;0.251108;0.183679;0.183679;0.622925;0.849377;0.622929;0.849376;0.000352033;-0.000262482;10366.7;10366.3;-1.28167
0.999999;0.999995;9800;526.268;0.0819264;0.0819268;0.999996;1;-2.18576;-2.18576;0.246732;0.246733;0.183489;0.183489;0.612528;0.854361;0.612531;0.85436;0.000279914;-0.000296467;11611.7;11611.4;-0.379588
0.999999;0.999995;10000;526.268;0.0804646;0.0804649;0.999996;1;-2.20005;-2.20005;0.243117;0.243118;0.183893;0.183893;0.60251;0.857661;0.602512;0.85766;0.000368231;-0.000234135;12748.7;12748.4;0.504264
