Density;f;f0;u;P;u_0;P_0;T;;;;;;
99.60582691;-30.47174499;-29.29270414;-0.014879574;4.971190202;-0.014183369;4.985302709;13820935.95;10.7522;;;;185;5.52228
101.2123725;-30.88253531;-29.68434619;-0.014842907;5.034534925;-0.014153655;5.036634438;13820935.95;11.3334;;;;195;5.66612
102.8189181;-31.29232501;-30.07517959;-0.01480717;5.097259291;-0.014124854;5.087185677;13820935.95;11.9146;;;;205;5.77268
104.4254637;-31.70113945;-30.46522912;-0.014772338;5.159359214;-0.014096934;5.136961719;13820935.95;12.4958;;;;215;5.87951
106.0320093;-32.10900326;-30.85451874;-0.014738384;5.220832311;-0.014069866;5.185967833;13820935.95;13.077;;;;225;5.97972
107.6385549;-32.51594036;-31.24307158;-0.014705282;5.281677798;-0.014043621;5.234209277;13820935.95;13.6582;;;;235;6.16458
109.2451005;-32.92197394;-31.63091002;-0.014673007;5.341896382;-0.014018172;5.281691299;13820935.95;14.2394;;;;245;6.30746
110.8516461;-33.32712649;-32.0180557;-0.014641533;5.401490141;-0.013993492;5.328419141;13820935.95;14.8206;;;;255;6.45015
112.4581917;-33.73141983;-32.40452954;-0.014610835;5.460462399;-0.013969558;5.37439805;13820935.95;15.4018;;;;265;6.59286
114.0647373;-34.13487506;-32.79035181;-0.014580889;5.518817606;-0.013946345;5.419633275;13820935.95;15.983;;;;275;6.77912
115.6712829;-34.53751266;-33.17554213;-0.014551671;5.576561209;-0.01392383;5.46413008;13820935.95;16.5642;;;;285;6.95016
117.2778285;-34.93935243;-33.56011949;-0.014523159;5.633699539;-0.013901991;5.507893745;13820935.95;17.1454;;;;295;7.19917
118.884374;-35.34041355;-33.9441023;-0.014495329;5.690239688;-0.013880808;5.550929573;13820935.95;17.7266;;;;305;7.44498
120.4909196;-35.74071457;-34.32750839;-0.014468159;5.7461894;-0.01386026;5.593242894;13820935.95;18.3078;;;;315;7.75685
122.0974652;-36.14027344;-34.71035505;-0.014441628;5.801556964;-0.013840328;5.634839072;13820935.95;18.889;;;;325;8.12201
123.7040108;-36.53910754;-35.09265905;-0.014415715;5.856351117;-0.013820993;5.675723508;13820935.95;19.4702;;;;335;8.48209
125.3105564;-36.93723366;-35.47443664;-0.0143904;5.910580953;-0.013802237;5.71590165;13820935.95;20.0514;;;;345;8.98049
126.917102;-37.33466806;-35.85570359;-0.014365663;5.964255836;-0.013784044;5.755378993;13820935.95;20.6326;;;;355;9.63196
128.5236476;-37.73142647;-36.23647519;-0.014341486;6.017385325;-0.013766395;5.794161087;13820935.95;21.2138;;;;365;10.3456
130.1301932;-38.12752408;-36.61676631;-0.014317849;6.069979105;-0.013749276;5.832253543;13820935.95;21.795;;;;375;11.168
131.7367388;-38.52297561;-36.99659135;-0.014294737;6.122046924;-0.01373267;5.869662038;13820935.95;22.3762;;;;385;12.14452
133.3432844;-38.9177953;-37.37596431;-0.01427213;6.173598536;-0.013716563;5.906392318;13820935.95;22.9574;;;;395;13.39289
134.94983;-39.31199692;-37.75489876;-0.014250014;6.224643654;-0.01370094;5.942450209;13820935.95;23.5386;;;;405;14.569
136.5563756;-39.7055938;-38.13340789;-0.014228372;6.275191907;-0.013685787;5.977841617;13820935.95;24.1198;;;;415;16.43053
138.1629212;-40.09859884;-38.51150452;-0.01420719;6.3252528;-0.013671091;6.012572537;13820935.95;24.701;;;;425;17.96611
139.7694668;-40.49102455;-38.88920109;-0.014186452;6.374835685;-0.013656839;6.046649054;13820935.95;0;;;;0;
141.3760124;-40.88288301;-39.26650969;-0.014166146;6.423949732;-0.013643018;6.080077356;13820935.95;0;;;;0;
142.982558;-41.27418597;-39.64344205;-0.014146257;6.472603906;-0.013629615;6.112863733;13820935.95;0;;;;0;
144.5891036;-41.66494477;-40.02000958;-0.014126772;6.52080695;-0.013616619;6.145014585;13820935.95;0;;;;0;
146.1956492;-42.05517042;-40.39622336;-0.01410768;6.56856737;-0.013604018;6.176536427;13820935.95;0;;;;0;
147.8021948;-42.44487361;-40.77209415;-0.014088968;6.61589342;-0.0135918;6.207435896;13820935.95;0;;;;0;
149.4087404;-42.8340647;-41.14763241;-0.014070625;6.662793099;-0.013579956;6.237719754;13820935.95;0;;;;0;
151.015286;-43.22275372;-41.52284829;-0.01405264;6.709274141;-0.013568474;6.267394898;13820935.95;0;;;;0;
152.6218316;-43.61095044;-41.89775168;-0.014035003;6.755344012;-0.013557343;6.296468358;13820935.95;0;;;;0;
154.2283771;-43.99866434;-42.27235214;-0.014017704;6.801009912;-0.013546555;6.324947311;13820935.95;0;;;;0;
155.8349227;-44.3859046;-42.646659;-0.014000732;6.846278773;-0.013536098;6.352839083;13820935.95;0;;;;0;
157.4414683;-44.77268018;-43.0206813;-0.01398408;6.891157263;-0.013525964;6.380151151;13820935.95;0;;;;0;
159.0480139;-45.15899976;-43.39442781;-0.013967738;6.935651793;-0.013516143;6.406891156;13820935.95;0;;;;0;
160.6545595;-45.54487181;-43.76790706;-0.013951697;6.97976852;-0.013506625;6.433066902;13820935.95;0;;;;0;
162.2611051;-45.93030453;-44.14112733;-0.01393595;7.023513356;-0.013497403;6.458686366;13820935.95;0;;;;0;
163.8676507;-46.31530595;-44.51409665;-0.013920489;7.066891979;-0.013488466;6.483757701;13820935.95;0;;;;0;
165.4741963;-46.69988384;-44.88682281;-0.013905306;7.109909839;-0.013479808;6.508289243;13820935.95;0;;;;0;
167.0807419;-47.0840458;-45.25931337;-0.013890393;7.152572176;-0.013471419;6.532289517;13820935.95;0;;;;0;
168.6872875;-47.46779923;-45.63157567;-0.013875745;7.194884026;-0.013463291;6.55576724;13820935.95;0;;;;0;
170.2938331;-47.85115132;-46.00361682;-0.013861354;7.23685024;-0.013455416;6.578731331;13820935.95;0;;;;0;
171.9003787;-48.23410911;-46.3754437;-0.013847215;7.278475496;-0.013447786;6.601190912;13820935.95;0;;;;0;
173.5069243;-48.61667944;-46.74706299;-0.013833319;7.319764315;-0.013440395;6.623155317;13820935.95;0;;;;0;
175.1134699;-48.998869;-47.11848114;-0.013819663;7.360721076;-0.013433233;6.644634097;13820935.95;0;;;;0;
176.7200155;-49.3806843;-47.48970443;-0.01380624;7.401350039;-0.013426294;6.665637023;13820935.95;0;;;;0;
178.3265611;-49.76213171;-47.8607389;-0.013793044;7.441655353;-0.01341957;6.686174096;13820935.95;0;;;;0;
179.9331067;-50.14321745;-48.2315904;-0.01378007;7.481641084;-0.013413054;6.706255551;13820935.95;0;;;;0;
181.5396523;-50.52394758;-48.60226459;-0.013767313;7.52131123;-0.013406739;6.725891859;13820935.95;0;;;;0;
183.1461979;-50.90432801;-48.97276693;-0.013754768;7.560669742;-0.013400619;6.745093738;13820935.95;0;;;;0;
184.7527435;-51.28436454;-49.34310269;-0.013742429;7.599720541;-0.013394685;6.763872157;13820935.95;0;;;;0;
186.3592891;-51.66406281;-49.71327695;-0.013730293;7.638467545;-0.013388933;6.78223834;13820935.95;0;;;;0;
187.9658346;-52.04342834;-50.08329461;-0.013718354;7.676914687;-0.013383354;6.800203772;13820935.95;0;;;;0;
189.5723802;-52.42246653;-50.45316038;-0.013706607;7.715065936;-0.013377942;6.817780207;13820935.95;0;;;;0;
191.1789258;-52.80118263;-50.8228788;-0.013695049;7.75292532;-0.013372691;6.834979671;13820935.95;0;;;;0;
192.7854714;-53.17958179;-51.19245423;-0.013683674;7.79049695;-0.013367594;6.85181447;13820935.95;0;;;;0;
194.392017;-53.55766903;-51.56189083;-0.013672479;7.827785042;-0.013362646;6.868297191;13820935.95;0;;;;0;
195.9985626;-53.93544926;-51.93119262;-0.01366146;7.864793938;-0.013357839;6.884440715;13820935.95;0;;;;0;
197.6051082;-54.31292725;-52.30036342;-0.013650611;7.901528132;-0.013353168;6.900258216;13820935.95;0;;;;0;
199.2116538;-54.69010769;-52.6694069;-0.01363993;7.937992292;-0.013348626;6.915763169;13820935.95;0;;;;0;
200.8181994;-55.06699513;-53.03832655;-0.013629411;7.974191285;-0.013344207;6.930969358;13820935.95;0;;;;0;
202.424745;-55.44359402;-53.4071257;-0.013619051;8.010130196;-0.013339905;6.945890877;13820935.95;0;;;;0;
204.0312906;-55.81990868;-53.7758075;-0.013608846;8.045814358;-0.013335715;6.960542138;13820935.95;0;;;;0;
205.6378362;-56.19594335;-54.14437494;-0.013598791;8.081249371;-0.013331631;6.974937879;13820935.95;0;;;;0;
207.2443818;-56.57170213;-54.51283087;-0.013588884;8.116441123;-0.013327645;6.989093164;13820935.95;0;;;;0;
208.8509274;-56.94718902;-54.88117794;-0.013579119;8.151395822;-0.013323754;7.003023393;13820935.95;0;;;;0;
210.457473;-57.32240791;-55.24941867;-0.013569492;8.186120009;-0.01331995;7.016744306;13820935.95;0;;;;0;
212.0640186;-57.69736259;-55.61755541;-0.013560001;8.220620586;-0.013316228;7.03027199;13820935.95;0;;;;0;
213.6705642;-58.07205673;-55.98559034;-0.01355064;8.254904837;-0.013312583;7.043622881;13820935.95;0;;;;0;
215.2771098;-58.44649386;-56.35352549;-0.013541406;8.288980452;-0.013309009;7.056813773;13820935.95;0;;;;0;
