Dados da simulação 
 -------------------------------------------------------------------------------------
Number of Components = 2
Component 1 = 35
Component 2 = 40
Equation of state = 1
Mixing Rule = 1
Defined Temperature = 308 K
kij = 0
-------------------------------------------------------------------------------------------------------------

Cálculos 
 ----------------------------------------------------------------------------------------------------------
x1 ;y1 ;T ;P;Vl;Vv;sumKx;counter;u_liquid1;u_vapor1;X1l;X1v;Zl;Zv;phi_liquid_1;phi_liquid_2;phi_vapor_1;phi_vapor_2;Vl_obj;Vv_obj;dP/dVl;dP/dVv;G_excess
0.2301;0.76471;308;6.01862;0;0;1.00005;2;0;0;0;0;0.000317581;0.99718;3.3156;0.304345;0.997657;0.995663;0;0;0;0;-1.90661
0.2351;0.769664;308;6.10889;0;0;1.00005;2;0;0;0;0;0.000321797;0.997147;3.26599;0.299866;0.997621;0.9956;0;0;0;0;-1.88961
0.2401;0.774473;308;6.19912;0;0;1.00005;2;0;0;0;0;0.000325995;0.997115;3.21784;0.295521;0.997585;0.995538;0;0;0;0;-1.87266
0.2451;0.779143;308;6.28933;0;0;1.00005;2;0;0;0;0;0.000330175;0.997083;3.17109;0.291301;0.997549;0.995476;0;0;0;0;-1.85574
0.2501;0.783679;308;6.3795;0;0;1.00005;2;0;0;0;0;0.000334338;0.99705;3.12567;0.287203;0.997513;0.995414;0;0;0;0;-1.83887
0.2551;0.788089;308;6.46965;0;0;1.00005;2;0;0;0;0;0.000338482;0.997018;3.08154;0.283221;0.997477;0.995352;0;0;0;0;-1.82204
0.2601;0.792376;308;6.55976;0;0;1.00005;2;0;0;0;0;0.000342609;0.996986;3.03863;0.27935;0.997441;0.99529;0;0;0;0;-1.80524
0.2651;0.796546;308;6.64984;0;0;1.00004;2;0;0;0;0;0.000346718;0.996953;2.9969;0.275586;0.997406;0.995228;0;0;0;0;-1.78849
0.2701;0.800603;308;6.73989;0;0;1.00004;2;0;0;0;0;0.000350809;0.996921;2.9563;0.271924;0.99737;0.995166;0;0;0;0;-1.77178
0.2751;0.804553;308;6.82992;0;0;1.00004;2;0;0;0;0;0.000354882;0.996888;2.91679;0.268361;0.997334;0.995104;0;0;0;0;-1.75512
0.2801;0.808399;308;6.91991;0;0;1.00004;2;0;0;0;0;0.000358938;0.996856;2.87831;0.264891;0.997298;0.995042;0;0;0;0;-1.73849
0.2851;0.812146;308;7.00987;0;0;1.00004;2;0;0;0;0;0.000362975;0.996824;2.84084;0.261513;0.997262;0.99498;0;0;0;0;-1.7219
0.2901;0.815797;308;7.0998;0;0;1.00004;2;0;0;0;0;0.000366995;0.996791;2.80432;0.258221;0.997227;0.994918;0;0;0;0;-1.70536
0.2951;0.819356;308;7.18971;0;0;1.00004;2;0;0;0;0;0.000370997;0.996759;2.76874;0.255014;0.997191;0.994857;0;0;0;0;-1.68886
0.3001;0.822826;308;7.27958;0;0;1.00004;2;0;0;0;0;0.000374982;0.996727;2.73404;0.251887;0.997155;0.994795;0;0;0;0;-1.6724
0.3051;0.826211;308;7.36942;0;0;1.00004;2;0;0;0;0;0.000378948;0.996694;2.7002;0.248838;0.99712;0.994733;0;0;0;0;-1.65599
0.3101;0.829514;308;7.45923;0;0;1.00004;2;0;0;0;0;0.000382897;0.996662;2.66719;0.245863;0.997084;0.994672;0;0;0;0;-1.63962
0.3151;0.832738;308;7.54902;0;0;1.00004;2;0;0;0;0;0.000386828;0.996629;2.63497;0.242962;0.997049;0.99461;0;0;0;0;-1.62329
0.3201;0.835885;308;7.63877;0;0;1.00004;2;0;0;0;0;0.000390741;0.996597;2.60352;0.240129;0.997013;0.994548;0;0;0;0;-1.60701
0.3251;0.838958;308;7.72849;0;0;1.00004;2;0;0;0;0;0.000394636;0.996565;2.57282;0.237364;0.996977;0.994487;0;0;0;0;-1.59076
0.3301;0.841961;308;7.81819;0;0;1.00004;2;0;0;0;0;0.000398514;0.996532;2.54282;0.234664;0.996942;0.994425;0;0;0;0;-1.57457
0.3351;0.844895;308;7.90785;0;0;1.00004;2;0;0;0;0;0.000402374;0.9965;2.51352;0.232026;0.996906;0.994364;0;0;0;0;-1.55841
