Density;f;f0;u;P;u_0;P_0;T;rhoc;6088;;;;
1710.445938;44.06552295;44.4983208;0.028506703;4.693651939;0.028903187;4.939018723;513.0075;;;;0.719046331;-0.329829485;-3.769963628
1730.808389;44.64617263;45.08706326;0.028524629;4.724494748;0.02892301;4.973125196;513.0075;;;;0.715701644;-0.334491897;-3.796973905
1751.170841;45.22718251;45.67620406;0.028542084;4.754882439;0.028942314;5.00673223;513.0075;;;;0.712356958;-0.339176148;-3.823994561
1771.533293;45.80854313;46.26573277;0.028559081;4.784819619;0.028961113;5.039842493;513.0075;;;;0.709012271;-0.343882445;-3.851027705
1791.895744;46.39024531;46.85563923;0.028575634;4.81431088;0.028979419;5.07245864;513.0075;;;;0.705667585;-0.348610996;-3.878075409
1812.258196;46.97228011;47.44591356;0.028591754;4.843360797;0.028997246;5.104583322;513.0075;;;;0.702322898;-0.353362012;-3.905139711
1832.620648;47.55463888;48.0365461;0.028607455;4.871973926;0.029014606;5.136219182;513.0075;;;;0.698978212;-0.358135708;-3.93222262
1852.983099;48.13731318;48.62752747;0.028622748;4.900154808;0.029031509;5.167368859;513.0075;;;;0.695633525;-0.362932302;-3.959326111
1873.345551;48.72029483;49.2188485;0.028637644;4.927907962;0.029047969;5.198034983;513.0075;;;;0.692288839;-0.367752014;-3.986452135
1893.708002;49.30357584;49.81050026;0.028652154;4.955237889;0.029063995;5.228220179;513.0075;;;;0.688944152;-0.372595068;-4.013602611
1914.070454;49.88714849;50.40247403;0.028666289;4.982149068;0.029079599;5.257927067;513.0075;;;;0.685599465;-0.377461691;-4.040779436
1934.432906;50.47100523;50.99476131;0.02868006;5.008645957;0.02909479;5.28715826;513.0075;;;;0.682254779;-0.382352115;-4.067984477
1954.795357;51.05513874;51.58735382;0.028693475;5.034732992;0.029109579;5.315916365;513.0075;;;;0.678910092;-0.387266572;-4.095219582
1975.157809;51.63954188;52.18024344;0.028706545;5.060414588;0.029123975;5.344203984;513.0075;;;;0.675565406;-0.3922053;-4.122486573
1995.520261;52.22420772;52.7734223;0.028719279;5.085695135;0.029137988;5.372023713;513.0075;;;;0.672220719;-0.397168541;-4.149787252
2015.882712;52.80912952;53.36688266;0.028731686;5.110579;0.029151627;5.399378141;513.0075;;;;0.668876033;-0.402156538;-4.177123399
2036.245164;53.39430069;53.960617;0.028743774;5.135070527;0.0291649;5.426269854;513.0075;;;;0.665531346;-0.40716954;-4.204496774
2056.607616;53.97971484;54.55461797;0.028755553;5.159174035;0.029177816;5.452701431;513.0075;;;;0.66218666;-0.412207799;-4.231909119
2076.970067;54.56536574;55.14887839;0.02876703;5.182893817;0.029190384;5.478675445;513.0075;;;;0.658841973;-0.417271571;-4.259362156
2097.332519;55.15124734;55.74339123;0.028778213;5.206234144;0.029202611;5.504194466;513.0075;;;;0.655497287;-0.422361115;-4.286857589
2117.69497;55.73735373;56.33814964;0.02878911;5.229199259;0.029214505;5.529261055;513.0075;;;;0.6521526;-0.427476695;-4.314397106
2138.057422;56.32367916;56.93314692;0.028799728;5.251793379;0.029226074;5.553877772;513.0075;;;;0.648807914;-0.432618579;-4.341982377
2158.419874;56.91021804;57.52837652;0.028810075;5.274020697;0.029237325;5.57804717;513.0075;;;;0.645463227;-0.437787038;-4.369615056
2178.782325;57.49696489;58.12383205;0.028820158;5.295885378;0.029248265;5.601771796;513.0075;;;;0.642118541;-0.44298235;-4.397296782
2199.144777;58.08391442;58.71950724;0.028829983;5.317391561;0.029258902;5.625054193;513.0075;;;;0.638773854;-0.448204793;-4.425029178
2219.507229;58.67106145;59.31539598;0.028839557;5.338543357;0.029269241;5.647896901;513.0075;;;;0.635429167;-0.453454654;-4.45281385
2239.86968;59.25840092;59.91149229;0.028848886;5.359344853;0.02927929;5.670302452;513.0075;;;;0.632084481;-0.458732221;-4.480652394
2260.232132;59.84592794;60.50779032;0.028857978;5.379800106;0.029289055;5.692273376;513.0075;;;;0.628739794;-0.464037789;-4.508546386
2280.594584;60.43363769;61.10428435;0.028866836;5.399913148;0.029298542;5.713812196;513.0075;;;;0.625395108;-0.469371656;-4.536497391
2300.957035;61.02152552;61.70096877;0.028875469;5.419687982;0.029307757;5.734921432;513.0075;;;;0.622050421;-0.474734126;-4.564506961
2321.319487;61.60958688;62.29783812;0.028883881;5.439128585;0.029316706;5.7556036;513.0075;;;;0.618705735;-0.480125507;-4.59257663
2341.681939;62.19781732;62.89488704;0.028892078;5.458238906;0.029325395;5.775861211;513.0075;;;;0.615361048;-0.485546113;-4.620707922
2362.04439;62.78621252;63.49211028;0.028900065;5.477022867;0.029333829;5.79569677;513.0075;;;;0.612016362;-0.490996262;-4.648902345
2382.406842;63.37476826;64.08950271;0.028907847;5.495484363;0.029342014;5.81511278;513.0075;;;;0.608671675;-0.496476278;-4.677161396
2402.769293;63.96348044;64.68705931;0.02891543;5.513627261;0.029349955;5.83411174;513.0075;;;;0.605326989;-0.50198649;-4.705486556
2423.131745;64.55234504;65.28477517;0.028922819;5.531455401;0.029357657;5.852696142;513.0075;;;;0.601982302;-0.507527233;-4.733879293
2443.494197;65.14135815;65.88264548;0.028930018;5.548972596;0.029365126;5.870868479;513.0075;;;;0.598637616;-0.513098846;-4.762341063
2463.856648;65.73051596;66.48066552;0.028937032;5.566182631;0.029372365;5.888631234;513.0075;;;;0.595292929;-0.518701677;-4.790873308
2484.2191;66.31981475;67.07883068;0.028943866;5.583089266;0.02937938;5.905986891;513.0075;;;;0.591948242;-0.524336076;-4.819477455
2504.581552;66.9092509;67.67713645;0.028950524;5.599696233;0.029386176;5.922937927;513.0075;;;;0.588603556;-0.530002402;-4.848154918
2524.944003;67.49882086;68.2755784;0.02895701;5.616007236;0.029392757;5.939486818;513.0075;;;;0.585258869;-0.535701018;-4.876907099
2545.306455;68.08852118;68.8741522;0.028963329;5.632025955;0.029399127;5.955636035;513.0075;;;;0.581914183;-0.541432294;-4.905735384
2565.668907;68.67834851;69.47285361;0.028969484;5.647756042;0.029405291;5.971388044;513.0075;;;;0.578569496;-0.547196608;-4.934641147
