Density;f;f0;u;P;u_0;P_0;T
17856.649252287355921;278.486548113100014;279.844198200326389;0.153640979022340;2465.026525066863996;0.156752890835120;2519.237192724497618;13820935.953782783447423
17884.291124194922304;282.801705238533089;284.198297467450686;0.158837336294168;2557.891458438017708;0.158286819254059;2546.649259194961815;13820935.953782783447423
17911.932996102488687;287.253116687363899;288.595065299076452;0.162454129734395;2622.614370055255677;0.159840189243060;2574.451694506954937;13820935.953782783447423
17939.574868010055070;291.724656788076459;293.035043857581798;0.159762999391717;2574.355631937467933;0.161413346240993;2602.651765728744977;13820935.953782783447423
17967.216739917621453;296.149375749988053;297.518784934009091;0.164013765024373;2650.721488772839621;0.163006641491813;2631.256872795448999;13820935.953782783447423
17994.858611825184198;300.774797677771176;302.046850109433024;0.166402781410288;2693.619726414809520;0.164620432111455;2660.274550353772611;13820935.953782783447423
18022.500483732750581;305.314194426141057;306.619810918230428;0.165042045076076;2669.156142793675372;0.166255081155927;2689.712469637493086;13820935.953782783447423
18050.142355640316964;309.932058171728727;311.238249013178290;0.167275676955088;2709.417723503710022;0.167910957687185;2719.578440312409839;13820935.953782783447423
18077.784227547883347;314.562967325667557;315.902756332412025;0.169633818662054;2752.040604141937820;0.169588436841847;2749.880412381621227;13820935.953782783447423
18105.426099455446092;319.306933857684726;320.613935268289481;0.171653681469224;2788.556110682809958;0.171287899898939;2780.626478082881022;13820935.953782783447423
18133.067971363012475;324.040602485902355;325.372398838114918;0.172368677036532;2801.532334351445570;0.173009734348874;2811.824873817470689;13820935.953782783447423
18160.709843270578858;328.884039496649166;330.178770856805386;0.178284462487069;2908.888353294471926;0.174754333962755;2843.483982094795920;13820935.953782783447423
18188.351715178145241;333.828045255369432;335.033686111441909;0.176734424228192;2880.679822786493332;0.176522098861527;2875.612333483458315;13820935.953782783447423
18215.993587085711624;338.681751061417060;339.937790537778881;0.178133274435955;2906.192833710521882;0.178313435586841;2908.218608603331177;13820935.953782783447423
18243.635458993274369;343.689215079716348;344.891741398696865;0.180975100234223;2957.954540748222826;0.180128757172218;2941.311640132766570;13820935.953782783447423
18271.277330900840752;348.657386125049186;349.896207464640440;0.180631973718250;2951.719500509091631;0.181968483213539;2974.900414813303087;13820935.953782783447423
18298.919202808407135;353.704606949229969;354.951869196003202;0.183477499882927;3003.735338941744430;0.183833039943049;3008.994075528495159;13820935.953782783447423
18326.561074715973518;358.800192037478780;360.059418927611603;0.186266895231905;3054.831439627756936;0.185722860301958;3043.601923367156360;13820935.953782783447423
18354.202946623536263;363.999355301744515;365.219561055141128;0.188754252636250;3100.434504622236091;0.187638384013261;3078.733419700729428;13820935.953782783447423
18381.844818531102646;369.221470036733479;370.433012223667163;0.189747816760248;3118.693452305229130;0.189580057659246;3114.398188356771243;13820935.953782783447423
18409.486690438669029;374.495683047166153;375.700501518288263;0.191431426861079;3149.658621883551405;0.191548334755544;3150.606017739589333;13820935.953782783447423
18437.128562346235412;379.802963059785895;381.022770656835633;0.192946495080304;3177.576372389885819;0.193543675828752;3187.366863026928058;13820935.953782783447423
18464.770434253801795;385.196157692448139;386.400574184773916;0.198115806544770;3272.966729553770165;0.195566548495769;3224.690848408959027;13820935.953782783447423
18492.412306161364540;390.710569794866899;391.834679672265054;0.198403745305737;3278.253291485440513;0.197617427541787;3262.588269313431738;13820935.953782783447423
18520.054178068930923;396.155708348180269;397.325867913436070;0.197720204449592;3265.633190157133413;0.199696795002558;3301.069594720659552;13820935.953782783447423
18547.696049976497306;401.686880776647229;402.874933127944075;0.201985444059461;3344.677742157763987;0.201805140246247;3340.145469482318731;13820935.953782783447423
18575.337921884063690;407.304402421300438;408.482683164792718;0.204316935762334;3387.951722527934635;0.203942960057409;3379.826716690875401;13820935.953782783447423
18602.979793791626435;412.978442779598879;414.149939708544537;0.206231328633594;3423.538796637947144;0.206110758723313;3420.124340104312978;13820935.953782783447423
18630.621665699192818;418.706760998972186;419.877538487890945;0.208267128496628;3461.439315423266635;0.208309048120557;3461.049526588133631;13820935.953782783447423
18658.263537606759201;424.501587906010286;425.666329486680695;0.211318621094414;3518.336934877225758;0.210538347805318;3502.613648637254755;13820935.953782783447423
18685.905409514325584;430.377888647516784;431.517177157456672;0.213137541949874;3552.290059444228064;0.212799185104772;3544.828266932046063;13820935.953782783447423
18713.547281421891967;436.295381170715586;437.430960637547571;0.216123387917783;3608.139857249794204;0.215092095210289;3587.705132940297062;13820935.953782783447423
18741.189153329454712;442.315195449541591;443.408573967770224;0.217936750909598;3642.078676809284389;0.217417621274259;3631.256191600072725;13820935.953782783447423
18768.831025237021095;448.326212549277102;449.450926313860862;0.217847768790532;3640.421749105129493;0.219776314508678;3675.493584048866978;13820935.953782783447423
18796.472897144587478;454.398966633583711;455.558942190631740;0.222135944303509;3720.973289948947240;0.222168734286373;3720.429650416093864;13820935.953782783447423
18824.114769052153861;460.614666962947240;461.733561689002158;0.227286699965426;3817.856258665349742;0.224595448245252;3766.076932686325563;13820935.953782783447423
18851.756640959716606;466.919374909288933;467.975740705921055;0.227569686405402;3823.168972064871468;0.227057032395536;3812.448177633227260;13820935.953782783447423
18879.398512867282989;473.194972349254670;474.286451177335664;0.227787678294348;3827.299382490549306;0.229554071230978;3859.556339843427395;13820935.953782783447423
18907.040384774849372;479.573257009170504;480.666681314238190;0.234618078599413;3956.360230068205965;0.232087157841778;3907.414584787868989;13820935.953782783447423
18934.682256682415755;486.101688921349421;487.117435841916063;0.234518863593976;3954.438476428826561;0.234656894033445;3956.036292021368808;13820935.953782783447423
18962.324128589982138;492.569196907765786;493.639736242538788;0.237768820159088;4016.080238621280387;0.237263890447792;4005.435058438758460;13820935.953782783447423
18989.966000497544883;499.242359095731160;500.234621001116864;0.240575930465552;4069.286380983159233;0.239908766688662;4055.624701637864291;13820935.953782783447423
19017.607872405111266;505.837829552483697;506.903145855041316;0.239985427542638;4058.110926544904032;0.242592151452126;4106.619263384595797;13820935.953782783447423
19045.249744312677649;512.575099246082914;513.646384047237916;0.246497980621678;4182.040503162528694;0.245314682661358;4158.433013185127493;13820935.953782783447423
19072.891616220244032;519.437924156597887;520.465426583162298;0.250054517449722;4249.824785308210267;0.248077007606100;4211.080451964223357;13820935.953782783447423
19100.533488127806777;526.373651673305858;527.361382491671520;0.250854643058421;4265.083858716418945;0.250879783087122;4264.576315858152157;13820935.953782783447423
19128.175360035373160;533.301358605631776;534.335379090022116;0.251139314504745;4270.535489040197717;0.253723675567468;4318.935580157222830;13820935.953782783447423
19155.817231942939543;540.321393821356878;541.388562253069153;0.258350501992682;4408.593604131164284;0.256609361327209;4374.173463336551322;13820935.953782783447423
19183.459103850505926;547.524147470178832;548.522096686862255;0.259072175782640;4422.376341601670902;0.259537526626309;4430.305431263452192;13820935.953782783447423
19211.100975758072309;554.668713908571590;555.737166206827510;0.262489791262212;4488.049171135440702;0.262508867872857;4487.347201530572420;13820935.953782783447423
19238.742847665635054;562.032300898195899;563.034974020675236;0.265553058864693;4546.874711010646934;0.265524091798376;4545.314747948246804;13820935.953782783447423
19266.384719573201437;569.367050877617999;570.416743016276314;0.270523182866652;4642.636665794750115;0.268583915639984;4604.224305193042710;13820935.953782783447423
19294.026591480767820;576.974749028797532;577.883716054642719;0.274073047730979;4710.997921900883739;0.271689067330167;4664.092373628210225;13820935.953782783447423
19321.668463388334203;584.464476528160390;585.437156268298736;0.271723329488402;4665.683609614771740;0.274840285694546;4724.935724304649739;13820935.953782783447423
19349.310335295896948;592.079871345592665;593.078347365198169;0.278407664479568;4794.916428394501963;0.278038320657604;4786.771404143294603;13820935.953782783447423
19376.952207203463331;599.843739581279920;600.808593938477770;0.283772811011502;4898.808457092382014;0.281283933457299;4849.616741317806373;13820935.953782783447423
19404.594079111029714;607.718443018057087;608.629221782230843;0.283770913658610;4898.740947985727871;0.284577896868124;4913.489350830828698;13820935.953782783447423
19432.235951018596097;615.547159525924940;616.541578213614912;0.285451404366278;4931.411882669212901;0.287920995435066;4978.407140332739800;13820935.953782783447423
19459.877822926158842;623.550431916861726;624.547032401540491;0.292685056052509;5072.064999461255866;0.291314025715972;5044.388316136035428;13820935.953782783447423
19487.519694833725225;631.711776745989823;632.646975702202781;0.298170442934611;5178.890602359540935;0.294757796535041;5111.451389480202124;13820935.953782783447423
19515.161566741291608;639.986949713037689;640.842822001783588;0.298504885145768;5185.384112368176829;0.298253129247796;5179.615183055133457;13820935.953782783447423
19542.803438648857991;648.223365679983203;649.136008066617705;0.299829275077501;5211.281222312188220;0.301800858016038;5248.898837756383728;13820935.953782783447423
19570.445310556424374;656.604699440942568;657.527993901140803;0.305719010263422;5326.452471316797528;0.305401830097138;5319.321819758733909;13820935.953782783447423
19598.087182463987119;665.119508698804907;666.020263113998908;0.311049981844618;5430.865153595864285;0.309056906142810;5390.903927815375027;13820935.953782783447423
19625.729054371553502;673.770466261793899;674.614323292572408;0.313098901191988;5471.023735753613437;0.312766960513155;5463.665300897924681;13820935.953782783447423
19653.370926279119885;682.411471204380973;683.311706386426067;0.313268396080051;5474.368516437386461;0.316532881604310;5537.626426147069651;13820935.953782783447423
19681.012798186686268;691.158140195755777;692.113969099938345;0.320929154214569;5625.052651212410638;0.320355572188783;5612.808147117923909;13820935.953782783447423
19708.654670094249013;700.141656240640486;701.022693294603869;0.327289699232026;5750.298003002379119;0.324235949772074;5689.231672393223562;13820935.953782783447423
19736.296542001815396;709.198486921657491;710.039486401362410;0.327848919366235;5761.325006665206274;0.328174946963847;5766.918584532839304;13820935.953782783447423
19763.938413909381779;718.302784364677223;719.165981843446957;0.332360019732806;5850.440176880201761;0.332173511866970;5845.890849427350986;13820935.953782783447423
19791.580285816948162;727.583129911668721;728.403839470184835;0.338014690051393;5962.261746025998946;0.336232608480580;5926.170825982876522;13820935.953782783447423
19819.222157724514545;736.936152481257523;737.754746002182969;0.337879295122142;5959.568660039833048;0.340353217122428;6007.781276243464163;13820935.953782783447423
19846.864029632077290;746.337518464962727;747.220415488468234;0.345900673537667;6118.706116995274897;0.344536334870099;6090.745375946179593;13820935.953782783447423
19874.505901539643673;756.022239297249371;756.802589776057857;0.349950098953673;6199.063067601907278;0.348782976019665;6175.086725483327427;13820935.953782783447423
19902.147773447210056;765.677485228442265;766.503038992471375;0.353284863454777;6265.450073370657265;0.353094172564146;6260.829361322230397;13820935.953782783447423
19929.789645354776439;775.584894737413720;776.323562041769719;0.360065004803633;6400.434909652643000;0.357470974693664;6347.997767922897765;13820935.953782783447423
19957.431517262339185;785.530094354151515;786.265987114706263;0.361078638353122;6420.672102924612773;0.361914451315552;6436.616890123002122;13820935.953782783447423
19985.073389169905568;795.597345058054316;796.332172213548688;0.367591687533403;6550.749507545814595;0.366425690597549;6526.712146055733683;13820935.953782783447423
20012.715261077471951;805.810313319128454;806.524005692250057;0.369587056001115;6590.630202611075219;0.371005800533593;6618.309440594658554;13820935.953782783447423
20040.357132985038334;816.060340096910750;816.843406812549915;0.374929403024201;6697.658796164963860;0.375655909532215;6711.435179329355378;13820935.953782783447423
20067.999004892604717;826.535254007694903;827.292326316717777;0.379993869772820;6799.181346458543885;0.380377167031588;6806.116283157054568;13820935.953782783447423
20095.640876800167462;837.053617119691580;837.872747017634993;0.383516466444029;6869.955562878906676;0.385170744139608;6902.380203461803831;13820935.953782783447423
20123.282748707733845;847.806742877183183;848.586684406930203;0.394556222945577;7091.959691718831891;0.390037834298910;7000.254937883652929;13820935.953782783447423
20150.924620615300228;858.755745890684011;859.436187281851858;0.393612379418173;7072.897641505950560;0.394979653980405;7099.769046753996918;13820935.953782783447423
20178.566492522866611;869.613639143432579;870.423338391758762;0.397718518053975;7155.775922716357854;0.399997443406831;7200.951670232127071;13820935.953782783447423
20206.208364430429356;880.799726590301816;881.550255104964322;0.407968817676239;7362.703209566107034;0.405092467302581;7303.832546072202604;13820935.953782783447423
20233.850236337995739;892.100621731277442;892.819090096736659;0.410940918482550;7422.816378827816152;0.410266015675891;7408.442028148330792;13820935.953782783447423
20261.492108245562122;903.563164531575580;904.232032059367384;0.418806191597873;7582.075181413112659;0.415519404632104;7514.811105716905331;13820935.953782783447423
20289.133980153128505;915.175237314767173;915.791306435149750;0.418145419017608;7568.633192320759008;0.420853977219931;7622.971423460351616;13820935.953782783447423
20316.775852060694888;926.738841009899261;927.499176173229216;0.423891476200568;7685.369266556153889;0.426271104309635;7732.955302296011723;13820935.953782783447423
20344.417723968257633;938.642880656192574;939.357942511163515;0.433255475668459;7875.687497539496690;0.431772185507473;7844.795761043586026;13820935.953782783447423
20372.059595875824016;950.642200635961444;951.369945782332593;0.437342144701847;7958.918035018213232;0.437358650106164;7958.526538952243754;13820935.953782783447423
20399.701467783390399;962.846580233565078;963.537566250032228;0.444227664355892;8099.265156357316300;0.443031958070955;8074.182119084967781;13820935.953782783447423
20427.343339690956782;975.185531929262652;975.863224969421026;0.449459486467780;8206.077715429266391;0.448793601063835;8191.797752617839251;13820935.953782783447423
20454.985211598519527;987.689734858234942;988.349384678267029;0.454186804343133;8302.694631283737181;0.454645103508555;8311.409484114910811;13820935.953782783447423
20482.627083506085910;1000.325763191650253;1000.998550717768239;0.462287735297977;8468.541524195376041;0.460588023695913;8433.054177774682103;13820935.953782783447423
20510.268955413652293;1013.223011384326696;1013.813271984392372;0.467814289118145;8581.773879614464022;0.466623954928802;8556.769544644159396;13820935.953782783447423
20537.910827321218676;1026.146279149656266;1026.796141914044938;0.468781525667714;8601.646892509441386;0.472754526711903;8682.594170907468651;13820935.953782783447423
20565.552699228785059;1039.232517898997685;1039.949799499692745;0.479897359754676;8830.121924356541058;0.478981405986568;8810.567547267764894;13820935.953782783447423
20593.194571136347804;1052.652661016465572;1053.276930343781032;0.488393165700373;9004.922827464559305;0.485306298409621;8940.730099403510394;13820935.953782783447423
20620.836443043914187;1066.194089690272904;1066.780267746587924;0.492696325522828;9093.616255004684717;0.491730949678833;9073.123219563280145;13820935.953782783447423
20648.478314951480570;1079.918103320841965;1080.462593831946378;0.499967250944503;9243.644835992639855;0.498257146909035;9207.789299388854488;13820935.953782783447423
20676.120186859046953;1093.789880768315243;1094.326740711642060;0.502433472190085;9294.584976134779936;0.504886720055231;9344.771763899378129;13820935.953782783447423
20703.762058766609698;1107.740061867900749;1108.375591689870816;0.509843843366105;9447.945558311019340;0.511621543388550;9484.115106765613746;13820935.953782783447423
20731.403930674176081;1122.029625559097440;1122.612082509223001;0.523078896233985;9722.130259878842480;0.518463537023935;9625.864926860023843;13820935.953782783447423
20759.045802581742464;1136.542790308137910;1137.039202639607993;0.523829492045244;9737.657627802214847;0.525414668501544;9770.067966132241054;13820935.953782783447423
20786.687674489308847;1151.061959702728927;1151.659996611688257;0.532511392527416;9918.086039872052424;0.532476954424455;9916.772148872731123;13820935.953782783447423
20814.329546396875230;1165.976257172696478;1166.477565396344062;0.540568530122404;10085.595271206384496;0.539652462151867;10066.026622357079759;13820935.953782783447423
