Density;f;f0
4.26213;-238.289;-238.289
4.27974;-238.858;-238.858
4.29735;-239.417;-239.417
4.31496;-239.964;-239.964
4.33257;-240.5;-240.5
4.35017;-241.024;-241.024
4.36778;-241.537;-241.537
4.38539;-242.037;-242.037
4.403;-242.526;-242.526
4.42061;-243.002;-243.002
4.43821;-243.465;-243.465
4.45582;-243.915;-243.915
4.47343;-244.352;-244.352
4.49104;-244.775;-244.775
4.50865;-245.184;-245.184
4.52625;-245.58;-245.58
4.54386;-245.961;-245.961
4.56147;-246.328;-246.328
4.57908;-246.679;-246.679
4.59669;-247.016;-247.016
4.61429;-247.337;-247.337
4.6319;-247.642;-247.642
4.64951;-247.931;-247.931
4.66712;-248.204;-248.204
4.68473;-248.459;-248.459
4.70233;-248.698;-248.698
4.71994;-248.92;-248.92
4.73755;-249.123;-249.123
4.75516;-249.309;-249.309
4.77277;-249.476;-249.476
4.79037;-249.624;-249.624
4.80798;-249.753;-249.753
4.82559;-249.862;-249.862
4.8432;-249.951;-249.951
4.86081;-250.02;-250.02
4.87841;-250.068;-250.068
4.89602;-250.095;-250.095
4.91363;-250.1;-250.1
4.93124;-250.084;-250.084
4.94885;-250.044;-250.044
4.96645;-249.982;-249.982
4.98406;-249.896;-249.896
5.00167;-249.786;-249.786
5.01928;-249.652;-249.652
5.03689;-249.493;-249.493
5.05449;-249.308;-249.308
5.0721;-249.097;-249.097
5.08971;-248.86;-248.86
5.10732;-248.595;-248.595
5.12493;-248.303;-248.303
5.14253;-247.983;-247.983
5.16014;-247.634;-247.634
5.17775;-247.255;-247.255
5.19536;-246.846;-246.846
5.21297;-246.406;-246.406
5.23057;-245.935;-245.935
5.24818;-245.432;-245.432
5.26579;-244.896;-244.896
5.2834;-244.326;-244.326
5.30101;-243.722;-243.722
5.31861;-243.083;-243.083
5.33622;-242.408;-242.408
5.35383;-241.696;-241.696
5.37144;-240.947;-240.947
5.38905;-240.159;-240.159
5.40665;-239.332;-239.332
5.42426;-238.465;-238.465
5.44187;-237.556;-237.556
5.45948;-236.605;-236.605
5.47709;-235.611;-235.611
5.49469;-234.573;-234.573
5.5123;-233.49;-233.49
5.52991;-232.36;-232.36
5.54752;-231.182;-231.182
5.56513;-229.956;-229.956
