T;rho1;rho2;P;u;delta_P;delta_u;;;rho1;rho2;P
273.15;462.054;11548.8;0.884553;0;0.884553;0;;0.56;462.054;11548.8;0.884553
273.15;479.591;11558.1;0.914136;0;0.914136;0;;0.565;479.591;11558.1;0.914136
273.15;497.875;11566.3;0.944743;0;0.944743;0;;0.57;497.875;11566.3;0.944743
273.15;516.945;11573.5;0.97641;0;0.97641;0;;0.575;516.945;11573.5;0.97641
273.15;536.839;11579.7;1.00918;0;1.00918;0;;0.58;536.839;11579.7;1.00918
273.15;557.6;11584.7;1.04308;0;1.04308;0;;0.585;557.6;11584.7;1.04308
273.15;579.273;11588.5;1.07817;0;1.07817;0;;0.59;579.273;11588.5;1.07817
273.15;601.907;11591.1;1.11449;0;1.11449;0;;0.595;601.907;11591.1;1.11449
273.15;625.553;11592.4;1.15208;0;1.15208;0;;0.6;625.553;11592.4;1.15208
273.15;650.265;11592.2;1.19098;0;1.19098;0;;0.605;650.265;11592.2;1.19098
273.15;676.103;11590.6;1.23126;0;1.23126;0;;0.61;676.103;11590.6;1.23126
273.15;703.127;11587.4;1.27295;0;1.27295;0;;0.615;703.127;11587.4;1.27295
273.15;731.405;11582.6;1.31611;0;1.31611;0;;0.62;731.405;11582.6;1.31611
273.15;761.011;11576;1.3608;0;1.3608;0;;0.625;761.011;11576;1.3608
273.15;792.02;11567.6;1.40708;0;1.40708;0;;0.63;792.02;11567.6;1.40708
273.15;824.515;11557.2;1.455;0;1.455;0;;0.635;824.515;11557.2;1.455
273.15;858.588;11544.8;1.50463;0;1.50463;0;;0.64;858.588;11544.8;1.50463
273.15;894.332;11530.2;1.55603;0;1.55603;0;;0.645;894.332;11530.2;1.55603
273.15;931.855;11513.3;1.60927;0;1.60927;0;;0.65;931.855;11513.3;1.60927
273.15;971.268;11493.9;1.66442;0;1.66442;0;;0.655;971.268;11493.9;1.66442
273.15;1012.69;11471.9;1.72156;0;1.72156;0;;0.66;1012.69;11471.9;1.72156
273.15;1056.27;11447.2;1.78076;0;1.78076;0;;0.665;1056.27;11447.2;1.78076
273.15;1102.13;11419.5;1.8421;0;1.8421;0;;0.67;1102.13;11419.5;1.8421
273.15;1150.45;11388.7;1.90567;0;1.90567;0;;0.675;1150.45;11388.7;1.90567
273.15;1201.4;11354.5;1.97154;0;1.97154;0;;0.68;1201.4;11354.5;1.97154
273.15;1255.17;11316.7;2.03983;0;2.03983;0;;0.685;1255.17;11316.7;2.03983
273.15;1311.97;11275.1;2.1106;0;2.1106;0;;0.69;1311.97;11275.1;2.1106
273.15;1372.03;11229.4;2.18398;0;2.18398;0;;0.695;1372.03;11229.4;2.18398
273.15;1435.62;11179.3;2.26005;0;2.26005;0;;0.7;1435.62;11179.3;2.26005
273.15;1503.04;11124.5;2.33893;0;2.33893;0;;0.705;1503.04;11124.5;2.33893
273.15;1574.6;11064.5;2.42074;0;2.42074;0;;0.71;1574.6;11064.5;2.42074
273.15;1650.67;10999;2.50558;0;2.50558;0;;0.715;1650.67;10999;2.50558
273.15;1731.68;10927.5;2.59358;0;2.59358;0;;0.72;1731.68;10927.5;2.59358
273.15;1818.1;10849.5;2.68487;0;2.68487;0;;0.725;1818.1;10849.5;2.68487
273.15;1910.47;10764.3;2.77958;0;2.77958;0;;0.73;1910.47;10764.3;2.77958
273.15;2009.45;10671.3;2.87785;0;2.87785;0;;0.735;2009.45;10671.3;2.87785
273.15;2115.76;10569.7;2.97984;0;2.97984;0;;0.74;2115.76;10569.7;2.97984
273.15;2230.3;10458.5;3.08569;0;3.08569;0;;0.745;2230.3;10458.5;3.08569
273.15;2354.11;10336.6;3.19556;0;3.19556;0;;0.75;2354.11;10336.6;3.19556
273.15;2488.49;10202.6;3.30962;0;3.30962;0;;0.755;2488.49;10202.6;3.30962
273.15;2635.03;10054.9;3.42806;0;3.42806;0;;0.76;2635.03;10054.9;3.42806
273.15;2795.74;9891.42;3.55104;0;3.55104;0;;0.765;2795.74;9891.42;3.55104
273.15;2973.24;9709.39;3.67878;0;3.67878;0;;0.77;2973.24;9709.39;3.67878
273.15;3171.05;9505.23;3.81146;0;3.81146;0;;0.775;3171.05;9505.23;3.81146
273.15;3394.1;9273.93;3.9493;0;3.9493;0;;0.78;3394.1;9273.93;3.9493
273.15;3649.73;9008.04;4.09252;0;4.09252;0;;0.785;3649.73;9008.04;4.09252
273.15;3949.82;8695.6;4.24136;0;4.24136;0;;0.79;3949.82;8695.6;4.24136
273.15;4316.2;8314.66;4.39606;0;4.39606;0;;0.795;4316.2;8314.66;4.39606
273.15;4799.64;7814.34;4.55687;0;4.55687;0;;0.8;4799.64;7814.34;4.55687
273.15;5625.6;6969.07;4.72408;0;4.72408;0;;0.805;5625.6;6969.07;4.72408
273.15;6264.4;6264.41;4.89476;0;4.89476;0;;0.81;6264.4;6264.41;4.89476
273.15;6264.4;6264.4;5.06427;0;5.06427;0;;0.815;6264.4;6264.4;5.06427
273.15;6264.4;6264.4;5.23266;0;5.23266;0;;0.82;6264.4;6264.4;5.23266
273.15;6264.4;6264.4;5.39991;0;5.39991;0;;0.825;6264.4;6264.4;5.39991
273.15;6264.4;6264.4;5.56603;0;5.56603;0;;0.83;6264.4;6264.4;5.56603
273.15;6264.4;6264.4;5.731;0;5.731;0;;0.835;6264.4;6264.4;5.731
273.15;6264.4;6264.4;5.89481;0;5.89481;0;;0.84;6264.4;6264.4;5.89481
273.15;6264.38;6264.38;6.05745;0;6.05745;0;;0.845;6264.38;6264.38;6.05745
273.15;6264.37;6264.37;6.21891;0;6.21891;0;;0.85;6264.37;6264.37;6.21891
273.15;6264.36;6264.36;6.3792;0;6.3792;0;;0.855;6264.36;6264.36;6.3792
273.15;6264.15;6264.15;6.53821;0;6.53821;0;;0.86;6264.15;6264.15;6.53821
273.15;6264.1;6264.1;6.69607;0;6.69607;0;;0.865;6264.1;6264.1;6.69607
273.15;6256.41;6256.41;6.84903;0;6.84903;0;;0.87;6256.41;6256.41;6.84903
273.15;6198.62;6198.62;6.97416;0;6.97416;0;;0.875;6198.62;6198.62;6.97416
273.15;5980.94;5980.94;7.00406;0;7.00406;0;;0.88;5980.94;5980.94;7.00406
273.15;5847.99;5847.99;7.06665;0;7.06665;0;;0.885;5847.99;5847.99;7.06665
273.15;13638.5;13638.5;18.4822;0;18.4822;0;;0.89;13638.5;13638.5;18.4822
273.15;9949.83;9949.83;10.6759;0;10.6759;0;;0.895;9949.83;9949.83;10.6759
273.15;3665.43;3665.43;5.67146;0;5.67146;0;;0.9;3665.43;3665.43;5.67146
273.15;nan;nan;nan;0;nan;0;;0.905;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.91;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.915;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.92;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.925;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.93;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.935;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.94;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.945;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.95;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.955;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.96;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.965;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.97;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.975;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.98;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.985;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.99;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;0.995;nan;nan;nan
273.15;nan;nan;nan;0;nan;0;;1;nan;nan;nan
